Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
I,Intelsat S.A.,2.96,$348.69M,2013,Consumer Services US,Telecommunications Equipment,http://www.nasdaq.com/symbol/i
ICE,Intercontinental Exchange Inc.,55.59,$165.57B,2005,Finance US,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ice
IHG,Intercontinental Hotels Group,39.51,$7.77B,n/a,Consumer Services US,Hotels/Resorts,http://www.nasdaq.com/symbol/ihg
IFF,"Internationa Flavors & Fragrances, Inc.",117.52,$9.33B,n/a,Basic Industries US,Major Chemicals,http://www.nasdaq.com/symbol/iff
IBM,International Business Machines Corporation,158.21,$150.43B,n/a,Technology US,Computer Manufacturing,http://www.nasdaq.com/symbol/ibm
IGT,International Game Technology US,29.38,$5.88B,2015,Consumer Services US,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/igt
IP,International Paper Company,47.21,$19.41B,n/a,Basic Industries US,Paper,http://www.nasdaq.com/symbol/ip
IOC,InterOil Corporation,47.27,$2.36B,n/a,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/ioc
IPG,"Interpublic Group of Companies, Inc. (The)",22.16,$8.8B,n/a,Technology US,Advertising,http://www.nasdaq.com/symbol/ipg
IPL^D,Interstate Power and Light Company,23.16,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ipl^d
INXN,InterXion Holding N.V.,34.5,$2.43B,2011,Technology US,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/inxn
IL,"IntraLinks Holdings, Inc.",10.96,$633M,2010,Technology US,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/il
SNOW,"Intrawest Resorts Holdings, Inc.",16.01,$636.72M,2014,Consumer Services US,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/snow
IPI,"Intrepid Potash, Inc",1.21,$92.68M,2008,Basic Industries US,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/ipi
XON,Intrexon Corporation,31.98,$3.79B,2013,Health Care US,BioTechnology US: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/xon
IVC,Invacare Corporation,11.9,$386.21M,n/a,Health Care US,Industrial Specialties,http://www.nasdaq.com/symbol/ivc
INVN,"InvenSense, Inc.",7.72,$725.47M,2011,Technology US,Semiconductors,http://www.nasdaq.com/symbol/invn
VBF,Invesco Bond Fund,18.03,$205.13M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vbf
VCV,Invesco California Value Municipal Income Trust,12.05,$576.78M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vcv
VTA,Invesco Credit Opportunities Fund,11.58,$858.01M,2007,n/a,n/a,http://www.nasdaq.com/symbol/vta
VLT,Invesco High Income Trust II,13.32,$108.14M,1989,n/a,n/a,http://www.nasdaq.com/symbol/vlt
IVR,INVESCO MORTGAGE CAPITAL INC,14.68,$1.64B,2009,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ivr
IVR^B,INVESCO MORTGAGE CAPITAL INC,24.65,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivr^b
IVR^A,Invesco Mortgage Capital Inc.,24.08,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivr^a
OIA,Invesco Municipal Income Opportunities Trust,7.06,$334.92M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oia
VMO,Invesco Municipal Opportunity Trust,12.27,$826.91M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vmo
VKQ,Invesco Municipal Trust,12.05,$666.61M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vkq
VPV,Invesco Pennsylvania Value Municipal Income Trust,12.11,$288.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vpv
IVZ,Invesco Plc,31.97,$13.06B,n/a,Finance US,Investment Managers,http://www.nasdaq.com/symbol/ivz
IQI,Invesco Quality Municipal Income Trust,12.02,$635.66M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iqi
VVR,Invesco Senior Income Trust,4.34,$781.36M,1998,n/a,n/a,http://www.nasdaq.com/symbol/vvr
VTN,Invesco Trust  for Investment Grade New York Municipal,13.3,$259.01M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtn
VGM,Invesco Trust for Investment Grade Municipals,12.46,$675.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vgm
IIM,Invesco Value Municipal Income Trust,14.3,$672.91M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iim
ITG,"Investment Technology US Group, Inc.",19.43,$632.77M,n/a,Finance US,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/itg
IRET,Investors Real Estate Trust,6.73,$817.91M,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iret
IRET^.CL,Investors Real Estate Trust,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iret^.cl
IRET^B,Investors Real Estate Trust,25.65,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iret^b
NVTA,Invitae Corporation,8.62,$279.68M,2015,Health Care US,Medical Specialities,http://www.nasdaq.com/symbol/nvta
IO,Ion Geophysical Corporation,7.29,$85.92M,n/a,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/io
IRM,Iron Mountain Incorporated,31.67,$8.34B,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irm
IRS,IRSA Inversiones Y Representaciones S.A.,17.06,$987.22M,n/a,Consumer Services US,Homebuilding,http://www.nasdaq.com/symbol/irs
ICL,Israel Chemicals Shs,3.77,$4.9B,2014,Basic Industries US,Agricultural Chemicals,http://www.nasdaq.com/symbol/icl
STAR          ,iStar Financial Inc.,11.75,$836.32M,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/star
STAR^D,iStar Financial Inc.,24.22,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^d
STAR^E,iStar Financial Inc.,24.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^e
STAR^F,iStar Financial Inc.,24.36,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^f
STAR^G,iStar Financial Inc.,24,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^g
STAR^I,iStar Financial Inc.,23.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^i
ITCB,Ita? CorpBanca,12.17,$4.16B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/itcb
ITUB,Itau Unibanco Banco Holding SA,10.08,$597.72M,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/itub
ITT,ITT Inc.,38.93,$3.43B,2011,Capital Goods US,Fluid Controls,http://www.nasdaq.com/symbol/itt
IVH,Ivy High Income Opportunities Fund,13.12,$217.36M,2013,n/a,n/a,http://www.nasdaq.com/symbol/ivh
JPM,J P Morgan Chase & Co,79.51,$284.51B,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/jpm
JPM.WS,J P Morgan Chase & Co,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm.ws
JPM^A,J P Morgan Chase & Co,23.98,n/a,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/jpm^a
JPM^B,J P Morgan Chase & Co,26.19,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^b
JPM^D,J P Morgan Chase & Co,23.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^d
JPM^E,J P Morgan Chase & Co,25.26,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^e
JPM^F,J P Morgan Chase & Co,25.29,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^f
JPM^G,J P Morgan Chase & Co,25.19,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^g
JPM^H,J P Morgan Chase & Co,25.41,n/a,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/jpm^h
JAX,"J. Alexander&#39;s Holdings, Inc.",10.05,$147.74M,2015,Consumer Services US,Restaurants,http://www.nasdaq.com/symbol/jax
JCP,"J.C. Penney Company, Inc. Holding Company",9.52,$2.93B,n/a,Consumer Services US,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/jcp
SJM,J.M. Smucker Company (The),128.82,$15B,n/a,Consumer Non-Durables US,Packaged Foods,http://www.nasdaq.com/symbol/sjm
JBL,"Jabil Circuit, Inc.",21.7,$4.03B,1993,Technology US,Electrical Products,http://www.nasdaq.com/symbol/jbl
JEC,Jacobs Engineering Group Inc.,58.63,$7.12B,n/a,Basic Industries US,Military/Government/Technical,http://www.nasdaq.com/symbol/jec
JHX,James Hardie Industries plc.,14.91,$6.64B,n/a,Capital Goods US,Building Materials,http://www.nasdaq.com/symbol/jhx
JNS,"Janus Capital Group, Inc",14.05,$2.57B,n/a,Finance US,Investment Managers,http://www.nasdaq.com/symbol/jns
JOF,Japan Smaller Capitalization Fund Inc,10.42,$295.24M,1990,n/a,n/a,http://www.nasdaq.com/symbol/jof
JCAP,"Jernigan Capital, Inc.",18.8,$112.05M,2015,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/jcap
JKS,JinkoSolar Holding Company Limited,13.15,$414.12M,2010,Technology US,Semiconductors,http://www.nasdaq.com/symbol/jks
JMP,JMP Group LLC,5.94,$125.96M,2007,Finance US,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmp
JMPB,JMP Group LLC,25.11,n/a,n/a,Finance US,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpb
JMPC,JMP Group LLC,25.01,n/a,2014,Finance US,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpc
JBT,John Bean Technologies Corporation,83.85,$2.44B,n/a,Technology US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/jbt
BTO,John Hancock Financial Opportunities Fund,32.638,$606.94M,1994,n/a,n/a,http://www.nasdaq.com/symbol/bto
HEQ,John Hancock Hedged Equity & Income Fund,15.61,$190.67M,2011,n/a,n/a,http://www.nasdaq.com/symbol/heq
JHS,John Hancock Income Securities Trust,13.8207,$160.96M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jhs
JHI,John Hancock Investors Trust,15.96,$139.06M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jhi
HPF,John Hancock Pfd Income Fund II,18.9,$401.65M,2002,n/a,n/a,http://www.nasdaq.com/symbol/hpf
HPI,John Hancock Preferred Income Fund,18.91,$491.45M,2002,n/a,n/a,http://www.nasdaq.com/symbol/hpi
HPS,John Hancock Preferred Income Fund III,16.38,$517.09M,2003,n/a,n/a,http://www.nasdaq.com/symbol/hps
PDT,John Hancock Premium Dividend Fund,13.44,$648.7M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pdt
HTD,John Hancock Tax Advantaged Dividend Income Fund,20.96,$741.77M,2004,n/a,n/a,http://www.nasdaq.com/symbol/htd
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,9.94,$105.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hty
JW.A,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jw.a
JW.B,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jw.b
JNJ,Johnson & Johnson,116.6,$317.21B,n/a,Health Care US,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnj
JCI,Johnson Controls International plc,44.07,$41.24B,n/a,Consumer Durables US,Industrial Specialties,http://www.nasdaq.com/symbol/jci
JONE,"Jones Energy US, Inc.",3.7,$321.31M,2013,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/jone
JLL,Jones Lang LaSalle Incorporated,96.92,$4.38B,n/a,Finance US,Real Estate,http://www.nasdaq.com/symbol/jll
JOY,Joy Global Inc.,28.09,$2.76B,n/a,Energy US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/joy
JPEP,JP Energy US Partners LP,7.53,$276.03M,2014,Energy US,Oil Refining/Marketing,http://www.nasdaq.com/symbol/jpep
JFC,"JPMorgan China Region Fund, Inc.",15.73,$101.42M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jfc
JMEI,Jumei International Holding Limited,4.82,$706.78M,2014,Consumer Services US,Other Specialty Stores,http://www.nasdaq.com/symbol/jmei
JNPR,"Juniper Networks, Inc.",25.96,$9.87B,1999,Technology US,Computer Communications Equipment,http://www.nasdaq.com/symbol/jnpr
JP,Jupai Holdings Limited,8.85,$264.89M,2015,Consumer Services US,Other Consumer Services US,http://www.nasdaq.com/symbol/jp
JE,"Just Energy US Group, Inc.",4.98,$736.01M,n/a,Public Utilities US,Oil/Gas Transmission,http://www.nasdaq.com/symbol/je
LRN,K12 Inc,13.5,$548.89M,n/a,Consumer Services US,Other Consumer Services US,http://www.nasdaq.com/symbol/lrn
KAI,Kadant Inc,59,$643.97M,n/a,Technology US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kai
KDMN,"Kadmon Holdings, Inc.",6.66,$300.22M,2016,Health Care US,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kdmn
KAMN,Kaman Corporation,47.92,$1.3B,n/a,Consumer Durables US,Industrial Specialties,http://www.nasdaq.com/symbol/kamn
KSU,Kansas City Southern,85.1,$9.15B,n/a,Transportation US,Railroads,http://www.nasdaq.com/symbol/ksu
KSU^,Kansas City Southern,26.29,n/a,n/a,Transportation US,Railroads,http://www.nasdaq.com/symbol/ksu^
KS,KapStone Paper and Packaging Corporation,19.79,$1.91B,n/a,Basic Industries US,Paper,http://www.nasdaq.com/symbol/ks
KAR,"KAR Auction Services, Inc",39.82,$5.5B,2009,Consumer Durables US,Automotive Aftermarket,http://www.nasdaq.com/symbol/kar
KATE,Kate Spade & Company,17.93,$2.3B,n/a,Consumer Non-Durables US,Apparel,http://www.nasdaq.com/symbol/kate
KED,Kayne Anderson Energy US Development Company,19.26,$205.81M,2006,n/a,n/a,http://www.nasdaq.com/symbol/ked
KYE,"Kayne Anderson Energy US Total Return Fund, Inc.",11.14,$407.26M,2005,n/a,n/a,http://www.nasdaq.com/symbol/kye
KMF,"Kayne Anderson Midstream Energy US Fund, Inc",14.77,$325.44M,2010,n/a,n/a,http://www.nasdaq.com/symbol/kmf
KYN,Kayne Anderson MLP Investment Company,19.57,$2.22B,2004,n/a,n/a,http://www.nasdaq.com/symbol/kyn
KYN^F,Kayne Anderson MLP Investment Company,25.49,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kyn^f
KB,KB Financial Group Inc,36.13,$13.63B,n/a,Finance US,Commercial Banks,http://www.nasdaq.com/symbol/kb
KBH,KB Home,15.73,$1.33B,1986,Capital Goods US,Homebuilding,http://www.nasdaq.com/symbol/kbh
KBR,"KBR, Inc.",16.63,$2.37B,2006,Basic Industries US,Military/Government/Technical,http://www.nasdaq.com/symbol/kbr
KAP,"KCAP Financial, Inc.",25.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kap
KCG,"KCG Holdings, Inc.",13.84,$1.19B,n/a,Finance US,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/kcg
K,Kellogg Company,72.53,$25.45B,n/a,Consumer Non-Durables US,Packaged Foods,http://www.nasdaq.com/symbol/k
KEM,Kemet Corporation,4.1,$189.76M,n/a,Capital Goods US,Electrical Products,http://www.nasdaq.com/symbol/kem
KMPA,Kemper Corporation,25.5936,n/a,2014,Finance US,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kmpa
KMPR,Kemper Corporation,40,$2.05B,n/a,Finance US,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kmpr
KMT,Kennametal Inc.,34.51,$2.76B,n/a,Capital Goods US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kmt
KW,Kennedy-Wilson Holdings Inc.,22.8,$2.58B,n/a,Finance US,Real Estate,http://www.nasdaq.com/symbol/kw
KWN,Kennedy-Wilson Holdings Inc.,25.3,n/a,2012,Finance US,Real Estate,http://www.nasdaq.com/symbol/kwn
KEN,Kenon Holdings Ltd.,9.53,$511.7M,2015,Consumer Services US,Marine Transportation US,http://www.nasdaq.com/symbol/ken
KEY,KeyCorp,16.79,$18.15B,n/a,Finance US,Major Banks,http://www.nasdaq.com/symbol/key
KEY^G,KeyCorp,135.43,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/key^g
KEY^H,KeyCorp,25.42,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/key^h
KEYS,Keysight Technologies Inc.,34.8,$5.91B,2014,Capital Goods US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/keys
KRC,Kilroy Realty Corporation,71.14,$6.56B,1997,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krc
KRC^G,Kilroy Realty Corporation,25.17,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/krc^g
KRC^H,Kilroy Realty Corporation,24.74,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/krc^h
KMB,Kimberly-Clark Corporation,113.09,$40.5B,n/a,Consumer Durables US,Containers/Packaging,http://www.nasdaq.com/symbol/kmb
KIM,Kimco Realty Corporation,26.16,$11.12B,n/a,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kim
KIM^I,Kimco Realty Corporation,24.26,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^i
KIM^J,Kimco Realty Corporation,22.7878,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^j
KIM^K,Kimco Realty Corporation,22.82,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kim^k
KMI,"Kinder Morgan, Inc.",20.97,$46.81B,2011,Public Utilities US,Natural Gas Distribution,http://www.nasdaq.com/symbol/kmi
KMI.WS,"Kinder Morgan, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmi.ws
KMI^A,"Kinder Morgan, Inc.",47.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmi^a
KND,"Kindred Healthcare, Inc.",7,$596.12M,n/a,Health Care US,Hospital/Nursing Management,http://www.nasdaq.com/symbol/knd
KFS,"Kingsway Financial Services, Inc.",5.65,$123.14M,n/a,Finance US,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kfs
KGC,Kinross Gold Corporation,3.36,$4.18B,n/a,Basic Industries US,Precious Metals,http://www.nasdaq.com/symbol/kgc
KEX,Kirby Corporation,64.85,$3.49B,n/a,Consumer Services US,Marine Transportation US,http://www.nasdaq.com/symbol/kex
KRG,Kite Realty Group Trust,25.12,$2.1B,2004,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krg
KKR,KKR & Co. L.P.,15.13,$6.8B,n/a,Finance US,Investment Managers,http://www.nasdaq.com/symbol/kkr
KKR^A,KKR & Co. L.P.,25.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kkr^a
KKR^B,KKR & Co. L.P.,24.8062,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kkr^b
KFH.CL,KKR Financial Holdings LLC,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kfh.cl
KFI,KKR Financial Holdings LLC,25.39,n/a,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/kfi
KFN^,KKR Financial Holdings LLC,25.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kfn^
KIO,KKR Income Opportunities Fund,14.79,$225.62M,2013,n/a,n/a,http://www.nasdaq.com/symbol/kio
KMG,"KMG Chemicals, Inc.",31.18,$366.76M,n/a,Basic Industries US,Major Chemicals,http://www.nasdaq.com/symbol/kmg
KNX,"Knight Transportation US, Inc.",34.65,$2.77B,n/a,Transportation US,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/knx
KNL,"Knoll, Inc.",24.71,$1.21B,2004,Consumer Durables US,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/knl
KNOP,KNOT Offshore Partners LP,21.5,$584.67M,2013,Consumer Services US,Marine Transportation US,http://www.nasdaq.com/symbol/knop
KN,Knowles Corporation,15.9,$1.41B,2014,Consumer Non-Durables US,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/kn
KSS,Kohl&#39;s Corporation,53.79,$9.66B,1992,Consumer Services US,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/kss
PHG,Koninklijke Philips N.V.,29.02,$26.82B,n/a,Energy US,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/phg
KOP,Koppers Holdings Inc.,36.9,$762.46M,2006,Basic Industries US,Forest Products,http://www.nasdaq.com/symbol/kop
KEP,Korea Electric Power Corporation,19.69,$25.28B,1994,Public Utilities US,Electric Utilities: Central,http://www.nasdaq.com/symbol/kep
KEF,"Korea Equity Fund, Inc.",7.57,$73.74M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kef
KF,"Korea Fund, Inc. (The)",32.02,$223.75M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kf
KFY,Korn/Ferry International,23.59,$1.37B,1999,Technology US,Diversified Commercial Services,http://www.nasdaq.com/symbol/kfy
KOS,Kosmos Energy US Ltd.,4.78,$1.85B,2011,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/kos
KRA,Kraton Corporation,28.75,$888.84M,2009,Basic Industries US,Major Chemicals,http://www.nasdaq.com/symbol/kra
KR,Kroger Company (The),34.64,$32.71B,n/a,Consumer Services US,Food Chains,http://www.nasdaq.com/symbol/kr
KRO,Kronos Worldwide Inc,11.45,$1.33B,n/a,Basic Industries US,Major Chemicals,http://www.nasdaq.com/symbol/kro
KT,KT Corporation,14.85,$7.27B,n/a,Public Utilities US,Telecommunications Equipment,http://www.nasdaq.com/symbol/kt
KYO,Kyocera Corporation,48.72,$17.92B,n/a,Technology US,Semiconductors,http://www.nasdaq.com/symbol/kyo
LB,"L Brands, Inc.",70.34,$20.12B,n/a,Consumer Services US,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/lb
SCX,L.S. Starrett Company (The),11.1,$78.22M,n/a,Capital Goods US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/scx
LLL,"L-3 Communications Holdings, Inc.",153.93,$11.9B,n/a,Technology US,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/lll
LQ,La Quinta Holdings Inc.,11.09,$1.3B,2014,Consumer Services US,Hotels/Resorts,http://www.nasdaq.com/symbol/lq
LH,Laboratory Corporation of America Holdings,127.5,$13.13B,n/a,Health Care US,Medical Specialities,http://www.nasdaq.com/symbol/lh
LADR,Ladder Capital Corp,13.85,$1.52B,2014,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ladr
LW,"Lamb Weston Holdings, Inc.",30.19,$4.41B,2016,n/a,n/a,http://www.nasdaq.com/symbol/lw
LDR,"Landauer, Inc.",49.35,$473.95M,n/a,Capital Goods US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ldr
LCI,Lannett Co Inc,24.25,$897.29M,n/a,Health Care US,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lci
LPI,"Laredo Petroleum, Inc.",13.26,$3.21B,2011,Energy US,Oil & Gas Production,http://www.nasdaq.com/symbol/lpi
LVS,Las Vegas Sands Corp.,57.04,$45.34B,2004,Consumer Services US,Hotels/Resorts,http://www.nasdaq.com/symbol/lvs
LHO,LaSalle Hotel Properties,26.93,$3.21B,1998,Consumer Services US,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lho
LHO^H,LaSalle Hotel Properties,25.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^h
LHO^I,LaSalle Hotel Properties,24.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^i
LHO^J,LaSalle Hotel Properties,24.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^j
LFL,LATAM Airlines Group S.A.,8.71,$4.75B,n/a,Transportation US,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/lfl
LDF,"Latin American Discovery Fund, Inc. (The)",9.06,$61.76M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ldf
LGI,Lazard Global Total Return and Income Fund,13.46,$129.29M,2004,n/a,n/a,http://www.nasdaq.com/symbol/lgi
LAZ,Lazard Ltd.,39.54,$4.87B,2005,Finance US,Investment Managers,http://www.nasdaq.com/symbol/laz
LOR,"Lazard World Dividend & Income Fund, Inc.",9.4,$64.67M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lor
LZB,La-Z-Boy Incorporated,26.2,$1.29B,n/a,Consumer Durables US,Home Furnishings,http://www.nasdaq.com/symbol/lzb
LFGR,Leaf Group Ltd.,6.6,$130.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lfgr
LEA,Lear Corporation,122.62,$8.61B,n/a,Capital Goods US,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lea
LEE,"Lee Enterprises, Incorporated",2.65,$147.79M,n/a,Consumer Services US,Newspapers/Magazines,http://www.nasdaq.com/symbol/lee
BWG,Legg Mason BW Global Income Opportunities Fund Inc.,11.43,$240.91M,2012,n/a,n/a,http://www.nasdaq.com/symbol/bwg
LM,"Legg Mason, Inc.",31.55,$3.19B,n/a,Finance US,Investment Managers,http://www.nasdaq.com/symbol/lm
LMHA,"Legg Mason, Inc.",23.75,n/a,2016,Finance US,Investment Managers,http://www.nasdaq.com/symbol/lmha
LMHB,"Legg Mason, Inc.",21.37,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/lmhb
LEG,"Leggett & Platt, Incorporated",49.44,$6.61B,n/a,Consumer Durables US,Home Furnishings,http://www.nasdaq.com/symbol/leg
CVB,Lehman ABS Corporation,10.95,n/a,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/cvb
JBK,Lehman ABS Corporation,23.98,n/a,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/jbk
KCC,Lehman ABS Corporation,28.986,n/a,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/kcc
KTH,Lehman ABS Corporation,29.91,n/a,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/kth
KTN,Lehman ABS Corporation,32.856,n/a,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/ktn
KTP,Lehman ABS Corporation,20.59,n/a,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/ktp
XKE,Lehman ABS Corporation,8.2783,n/a,n/a,Finance US,Finance US: Consumer Services US,http://www.nasdaq.com/symbol/xke
LDOS,"Leidos Holdings, Inc.",47.4,$7.13B,n/a,Technology US,EDP Services,http://www.nasdaq.com/symbol/ldos
LEJU,Leju Holdings Limited,3.96,$535.57M,2014,Finance US,Real Estate,http://www.nasdaq.com/symbol/leju
LC,LendingClub Corporation,6.31,$2.49B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lc
LEN,Lennar Corporation,42.33,$9.64B,n/a,Basic Industries US,Homebuilding,http://www.nasdaq.com/symbol/len
LEN.B,Lennar Corporation,n/a,n/a,n/a,Basic Industries US,Homebuilding,http://www.nasdaq.com/symbol/len.b
LII,"Lennox International, Inc.",149.05,$6.42B,1999,Capital Goods US,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lii
LUK,Leucadia National Corporation,20.76,$7.47B,n/a,Consumer Non-Durables US,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/luk
LVLT,"Level 3 Communications, Inc.",54.11,$19.48B,2011,Public Utilities US,Telecommunications Equipment,http://www.nasdaq.com/symbol/lvlt
